Designator,Mid X,Mid Y,Layer,Rotation
TP6,9.2456mm,2.1844mm,T,0
TP5,27.686mm,16.6116mm,T,0
TP4,33.147mm,20.7264mm,T,0
TP3,29.3624mm,3.429mm,T,0
TP2,28.1178mm,8.382mm,T,0
TP1,24.2062mm,12.0904mm,T,0
C5,7.0104mm,12.1158mm,T,270
C10,11.4554mm,5.7658mm,T,360
C11,11.4554mm,6.8326mm,T,180
C12,8.89mm,7.4422mm,T,90
C13,9.9568mm,7.4422mm,T,270
C17,13.8938mm,6.2484mm,T,270
D1,17.4244mm,7.0612mm,T,270
R4,12.8524mm,15.24mm,T,90
R5,13.7922mm,15.24mm,T,90
R8,12.9032mm,6.4262mm,T,270
U2,13.589mm,10.4648mm,T,270
D10,17.4752mm,10.0076mm,T,270
R30,15.9004mm,6.0706mm,T,360
R31,15.9004mm,6.9342mm,T,360
D2,9.017mm,10.9728mm,T,180
R1,18.5166mm,19.558mm,T,90
J1,3.81mm,10.033mm,T,270
J2,3.3528mm,18.7706mm,B,270
C6,18.2118mm,14.5542mm,T,360
SW1,22.3012mm,31.8262mm,T,180
D3,7.7724mm,18.034mm,T,180
R2,10.287mm,18.6944mm,T,360
R3,10.287mm,19.6342mm,T,180
C1,18.1864mm,24.5872mm,T,360
Q1,17.6022mm,16.7894mm,T,90
Q2,17.5768mm,22.3774mm,T,270
R6,16.637mm,19.558mm,T,270
SB1,8.128mm,15.1384mm,B,90
SB2,10.2616mm,15.113mm,B,90
SW2,13.843mm,31.7754mm,T,360
